,open,high,low,close,volume,sma_20,ema_20,wma_20,macd,signal,hist,rsi_14,stoch_k,stoch_d,bb_mid,bb_upper,bb_lower,atr_14,plus_di,minus_di,adx,cci_20,obv,mfi_14,psar,ichimoku_tenkan,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_chikou,pp,r1,s1,r2,s2,r3,s3,vwap,roc_12,willr_14,trix_15,donchian_upper,donchian_lower,donchian_mid
2023-01-01,1.1008735189458667,1.1014197660118683,1.0991392951188064,1.099672447151301,7780.0,,1.099672447151301,,0.0,0.0,0.0,,,,,,,0.0022804708930619366,0.0,0.0,,,0.0,,1.0991392951188064,,,,,1.0949674122981428,1.1000771694273253,1.1010150437358441,1.0987345728427822,1.1023576403203872,1.0977966985342633,1.103295514628906,1.0964541019497203,1.1000771694273253,,,,,,
2023-01-02,1.1002281045290476,1.1011246091675098,1.0994384812113498,1.1000597037142585,7602.0,,1.0997093287287256,,3.089226143249135e-05,6.178452286498271e-06,2.4713809145993083e-05,,,,,,,0.002238017826140367,0.0,0.0,,,7602.0,,1.0991392951188064,,,,,1.095882521104106,1.1002075980310393,1.1009767148507288,1.0992905868945688,1.1018937259871993,1.0985214700748793,1.1026628428068888,1.0976044589384089,1.1001416290714179,,,6.878052427605752e-05,,,
2023-01-03,1.1004989424564189,1.102632060517402,1.099351898990153,1.1000725446075235,3349.0,,1.0997439207171826,,5.576789636019264e-05,1.6096341101237143e-05,3.9671555258955494e-05,,,,,,,0.002312456661933847,4.6563076486298725,0.0,100.0,,10951.0,,1.0992187076807545,,,,,1.0945519234432988,1.1006855013716927,1.1020191037532325,1.0987389422259835,1.1039656628989418,1.0974053398444437,1.1052992652804816,1.0954587806987344,1.1002388704538117,,,0.0001828294177608214,,,
2023-01-04,1.1031673728816973,1.10423942035525,1.1017486026235126,1.101686325240659,6699.0,,1.0999289116241804,,0.00020335645974323135,5.354836482963599e-05,0.00014980809491359537,,,,,,,0.0024449151680618906,8.785394188727802,0.0,100.0,,17650.0,,1.099351898990153,,,,,1.0946427485148622,1.1025581160731406,1.1033676295227686,1.1008768117910313,1.105048933804878,1.1000672983414033,1.1058584472545059,1.098385994059294,1.1008498270564024,,,0.0006085688575518944,,,
2023-01-05,1.1028938466295635,1.1042807725846264,1.101309496017019,1.1020888614240287,2241.0,,1.1001346211289278,,0.00034878222106993206,0.0001125951360776952,0.00023618708499223686,,,,,,,0.002482512410886564,8.034316490882919,1.2634280283608605,98.05877954633297,,19891.0,,1.0997429006993606,,,,,1.0938066918341118,1.1025597100085582,1.1038099240000974,1.10083864743249,1.1055309865761656,1.099588433440951,1.1067812005677047,1.0978673708648827,1.1009883058860719,,,0.0012951214333201122,,,
2023-01-06,1.1024502708563853,1.1031798044300434,1.1009227232567518,1.1013263094227626,2125.0,,1.1002481152521502,,0.00039791469812144875,0.00016965904848644593,0.00022825564963500282,88.39141304277283,,,,,,0.0024664101796297807,7.509143026758286,2.3009572365424056,94.8467264568455,,17766.0,,1.1001966878878873,,,,,1.096069343740259,1.1018096123698526,1.1026965014829535,1.100439420309662,1.1040666935431442,1.099552531196561,1.104953582656245,1.0981823391363703,1.1010468800664328,,,0.0019889149008189833,,,
2023-01-07,1.1031843810046438,1.1046981178588728,1.1023786751621572,1.1037751724267069,7764.0,,1.100584025459251,,0.0006272250585408479,0.00026117225049732633,0.00036605280804352154,91.71688209550155,,,,,,0.002531081483664103,11.079382859976029,2.082011104188192,92.95494921761633,,25530.0,,1.100605096357561,,,,,1.0947559274360719,1.1036173218159122,1.1048559684696673,1.1025365257729516,1.105936764512628,1.1012978791191965,1.107175411166383,1.100217083076236,1.1015782141916448,,,0.003088764958381063,,,
2023-01-08,1.1045879867930748,1.1060721449004496,1.103543910860714,1.1047864553976112,6101.0,,1.100984256881952,,0.000880408454741799,0.0003850194913462209,0.0004953889633955781,92.65289662361047,,,,,,0.0025308780948120725,14.166719890664961,1.933451390706414,91.7426118318683,,31631.0,,1.1010962589377185,,,,,1.0936556607110357,1.1048008370529248,1.1060577632451356,1.1035295292054,1.1073290710926604,1.102272603013189,1.1085859972848713,1.1010012951656643,1.1020285296236474,,,0.00458687619686593,,,
2023-01-09,1.1036599988672817,1.104949256383781,1.1032657958362928,1.1045392244716197,8843.0,,1.101322825223825,,0.001049016244509593,0.0005178188419788953,0.0005311974025306976,89.9760083010197,,,,,,0.002470348270003228,13.477137711017177,2.6434904685260343,89.98982738297646,,22788.0,,1.1017928829725008,1.102605720009628,,,,1.094851707923178,1.1042514255638978,1.1052370552915027,1.1035535947440145,1.105934886111386,1.1025679650164095,1.106920515838991,1.1018701341965262,1.1024029214566435,,,0.006234418673844999,,,
2023-01-10,1.103663775263641,1.106376747105393,1.1030646810533251,1.1038809116054773,1072.0,,1.101566452498268,,0.001116646777147956,0.0006375844290127075,0.00047906234813524854,83.0919515481036,,,,,,0.002530470968722126,16.24657987308883,2.396348021019194,88.8685646731422,,21716.0,,1.1023919796424135,1.1028643230477728,,,,1.0934557471654132,1.1044407799213987,1.1058168787894722,1.1025048127374044,1.1077528459734665,1.1011287138693309,1.10912894484154,1.0991927466853366,1.1024436968835927,,,0.007782029276581781,,,
